STRAIN,FILEBASE
CEA10,CEA10_S29_R[12]_001.fastq.gz
SM12_R10,SM12_R10_S40_R[12]_001.fastq.gz
SM12_R2,SM12_R2_S35_R[12]_001.fastq.gz
SM12_R3,SM12_R3_S36_R[12]_001.fastq.gz
SM12_R4,SM12_R4_S37_R[12]_001.fastq.gz
SM12_R6,SM12_R6_S38_R[12]_001.fastq.gz
SM12_R7,SM12_R7_S39_R[12]_001.fastq.gz
SM6_R1,SM6_R1_S30_R[12]_001.fastq.gz
SM6_R2,SM6_R2_S31_R[12]_001.fastq.gz
SM6_R3,SM6_R3_S32_R[12]_001.fastq.gz
SM6_R4,SM6_R4_S33_R[12]_001.fastq.gz
SM6_R6,SM6_R6_S34_R[12]_001.fastq.gz
